                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7663,                 2.5467,                 2.4517,                0.72562,                0.19953,                0.29663,                 0.1227,                 2.0638,                 3.4651,                 2.5898,                0.09307,                  7e-05,                  7e-05
                      2,                 1.3567,                 1.7249,                 1.6946,                0.71253,                0.25671,                0.34246,                0.12942,                 1.9525,                 2.8474,                  2.183,               0.085145,             0.00014505,             0.00014505
                      3,                 1.1547,                 1.3492,                 1.4817,                0.58858,                0.39971,                 0.4885,                0.20896,                 1.7909,                 2.5444,                 2.0627,               0.077215,             0.00021482,             0.00021482
                      4,                 1.0866,                 1.1936,                 1.4803,                0.66299,                0.54958,                0.68613,                0.32406,                 1.6361,                 2.0507,                 1.9049,               0.069279,             0.00027931,             0.00027931
                      5,                 1.0354,                 1.0234,                 1.4016,                0.76623,                0.73106,                0.80833,                0.46642,                  1.501,                 1.6086,                 1.8181,               0.061339,             0.00033852,             0.00033852
                      6,                 1.0073,                0.94011,                 1.3568,                0.81594,                0.74635,                0.86857,                0.54432,                 1.3309,                 1.3974,                 1.6604,               0.053392,             0.00039245,             0.00039245
                      7,                0.92747,                0.81505,                  1.311,                0.90616,                 0.8467,                0.92415,                 0.6342,                 1.1696,                 1.0855,                 1.5471,               0.045441,              0.0004411,              0.0004411
                      8,                0.88882,                0.72967,                 1.3043,                0.93298,                0.89771,                0.95197,                0.69378,                 1.0697,                0.91359,                 1.4442,               0.037484,             0.00048447,             0.00048447
                      9,                0.88347,                0.77209,                 1.2533,                0.92462,                0.87886,                0.96513,                0.71042,                 1.0119,                0.86866,                  1.352,               0.029523,             0.00052256,             0.00052256
                     10,                0.86078,                0.62854,                  1.212,                0.85842,                 0.9268,                0.97211,                0.71724,                0.99843,                0.89055,                 1.3299,               0.021555,             0.00055537,             0.00055537
                     11,                0.86025,                0.61476,                 1.2858,                0.87706,                0.96211,                 0.9851,                0.75917,                0.90983,                0.77113,                 1.2469,               0.013583,              0.0005829,              0.0005829
                     12,                0.80719,                0.59697,                 1.2322,                0.93391,                0.93355,                0.98715,                0.79184,                0.85571,                0.67617,                 1.2085,              0.0056051,             0.00060515,             0.00060515
                     13,                0.80083,                 0.5936,                 1.1984,                0.90531,                 0.9622,                0.98718,                0.79506,                0.84082,                0.67551,                 1.1888,               0.000604,               0.000604,               0.000604
                     14,                0.77703,                0.58034,                 1.1593,                0.90328,                0.95346,                0.98509,                0.79752,                0.85711,                0.68041,                 1.2079,               0.000571,               0.000571,               0.000571
                     15,                0.77268,                0.55271,                 1.1989,                0.92506,                0.95596,                0.98323,                0.80773,                0.84186,                0.67997,                 1.1951,               0.000538,               0.000538,               0.000538
                     16,                0.75681,                0.53047,                 1.1829,                0.94174,                0.95344,                0.98162,                0.79553,                0.79835,                0.67983,                 1.1551,               0.000505,               0.000505,               0.000505
                     17,                0.66446,                 0.4984,                 1.1178,                0.94704,                0.95917,                0.98731,                0.80268,                0.78084,                0.62095,                 1.1378,               0.000472,               0.000472,               0.000472
                     18,                0.73038,                0.51745,                 1.1572,                0.96038,                0.95714,                0.99113,                0.81025,                0.77608,                0.56383,                 1.1327,               0.000439,               0.000439,               0.000439
                     19,                 0.6665,                 0.4817,                 1.0817,                0.96674,                0.95601,                0.99284,                0.80688,                0.78994,                0.54237,                 1.1419,               0.000406,               0.000406,               0.000406
                     20,                0.66804,                0.48689,                 1.1037,                0.97852,                0.94841,                0.99294,                0.80822,                0.80038,                0.52653,                 1.1508,               0.000373,               0.000373,               0.000373
                     21,                0.68781,                0.48219,                 1.0773,                0.97512,                0.95831,                0.99318,                0.81291,                0.77702,                0.51485,                  1.133,                0.00034,                0.00034,                0.00034
                     22,                0.64894,                0.45735,                 1.0641,                0.97071,                0.96513,                0.99249,                0.81778,                0.74094,                0.50823,                 1.1014,               0.000307,               0.000307,               0.000307
                     23,                0.61453,                0.44145,                 1.0639,                0.96697,                0.97515,                0.99126,                0.83064,                0.71073,                0.50797,                 1.0721,               0.000274,               0.000274,               0.000274
                     24,                0.59875,                0.43354,                  1.033,                0.97394,                0.97482,                0.99004,                0.83493,                0.69556,                0.52005,                 1.0588,               0.000241,               0.000241,               0.000241
                     25,                0.61097,                0.42353,                 1.0522,                0.97137,                0.97225,                0.98869,                0.83386,                0.69003,                0.53001,                 1.0516,               0.000208,               0.000208,               0.000208
                     26,                0.59565,                0.43866,                 1.0502,                0.97424,                0.97133,                0.98767,                0.83472,                0.68714,                0.53327,                 1.0454,               0.000175,               0.000175,               0.000175
                     27,                0.63133,                0.43515,                 1.0643,                0.97794,                0.97009,                0.98645,                0.83266,                0.68882,                0.53718,                  1.044,               0.000142,               0.000142,               0.000142
                     28,                0.57057,                0.41915,                 1.0322,                0.98087,                0.96601,                0.98576,                0.83412,                0.68244,                0.53821,                 1.0395,               0.000109,               0.000109,               0.000109
                     29,                0.54991,                0.41127,                0.97879,                 0.9804,                0.96561,                0.98587,                0.83726,                0.67661,                0.53334,                 1.0366,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.56797,                0.42658,                 1.0141,                0.98179,                0.96533,                0.98569,                0.84154,                0.67156,                0.53238,                 1.0343,                4.3e-05,                4.3e-05,                4.3e-05
